input,del,ins,sub,label
comments,c,"('m', 's')","('m', 'c')",ocscsents
development,m,"('e', 'y')","('p', 'y')",deyveyloyeynt
report,e,"('p', 'v')","('o', 'r')",rpvrrt
member,e,"('b', 'q')","('r', 'n')",mmbqn
details,e,"('l', 'y')","('y', 'w')",dtailws
before,e,"('o', 'm')","('o', 'o')",bfomr
hotels,l,"('e', 'd')","('o', 'h')",hhteds
because,b,"('a', 'a')","('u', 'r')",ecaarse
results,e,"('t', 'h')","('r', 'c')",csulths
office,e,"('o', 'h')","('o', 'b')",bhffic
education,t,"('d', 'q')","('u', 'i')",edqicaion
national,l,"('a', 'r')","('r', 'x')",naxtionax
design,g,"('n', 'p')","('e', 'z')",dzsinp
posted,t,"('e', 'g')","('p', 'd')",dosegd
internet,e,"('t', 'n')","('t', 'o')",inonrnon
address,s,"('a', 'v')","('e', 'u')",avddru
community,o,"('c', 'm')","('n', 'z')",cmmmuzity
within,w,"('t', 'g')","('t', 'r')",irghin
states,t,"('a', 'n')","('a', 'i')",sines
shipping,g,"('h', 'c')","('n', 'z')",shcippiz
reserved,e,"('r', 'u')","('u', 'a')",rasravd
subject,s,"('b', 'f')","('j', 'p')",ubfpect
between,w,"('e', 'm')","('b', 'f')",femtememn
family,i,"('f', 'm')","('a', 'z')",fmzmly
special,l,"('c', 'j')","('c', 'w')",spewjia
prices,s,"('e', 'v')","('v', 'p')",pricep
website,e,"('b', 'j')","('b', 'b')",wbjsit
technology,y,"('g', 'b')","('o', 'b')",technblbgb
project,p,"('c', 'p')","('c', 'q')",rojeqpt
version,e,"('v', 'q')","('v', 'f')",fqrsion
section,s,"('o', 'c')","('c', 'h')",ehtiohn
sports,r,"('s', 's')","('s', 's')",sspotss
related,t,"('r', 't')","('r', 'n')",ntelaed
security,i,"('c', 'g')","('r', 'h')",secguhty
county,u,"('t', 'e')","('y', 'u')",conteu
american,i,"('r', 'k')","('m', 'a')",aaerkcan
members,b,"('r', 's')","('m', 'c')",cecerss
network,o,"('e', 'q')","('q', 'e')",neetwrk
computer,t,"('c', 'h')","('u', 'j')",chompjer
systems,y,"('e', 'r')","('m', 'j')",ssterjs
following,g,"('f', 'v')","('n', 'j')",fvollowij
download,o,"('w', 'i')","('d', 'd')",dwinlad
without,u,"('o', 'e')","('t', 'j')",wijhoej
access,s,"('c', 'w')","('w', 'g')",acgcge
resources,u,"('s', 'i')","('r', 'c')",cesioccesi
current,n,"('r', 'i')","('c', 'a')",auririet
control,n,"('o', 'u')","('r', 'f')",coutfoul
history,r,"('t', 'r')","('o', 'n')",histrny
pictures,p,"('i', 'c')","('c', 'r')",irrtures
personal,p,"('l', 'l')","('s', 'n')",ernonall
including,c,"('i', 'j')","('d', 'z')",ijnluzijng
directory,d,"('o', 'g')","('c', 'v')",irevtogry
location,o,"('a', 'y')","('t', 'n')",lcaynin
change,g,"('h', 'h')","('h', 'z')",czzane
rating,a,"('n', 'a')","('t', 'x')",rxinag
government,n,"('e', 'z')","('e', 'i')",govizrmizt
children,i,"('n', 'w')","('h', 'm')",cmldrenw
during,d,"('n', 'h')","('r', 'o')",uoinhg
return,t,"('u', 'z')","('e', 'h')",rhuzrn
students,s,"('t', 'g')","('t', 'k')",kgudenkg
shopping,p,"('s', 'y')","('h', 'l')",syloing
account,n,"('u', 'm')","('m', 'r')",accourt
digital,g,"('d', 'd')","('i', 'f')",ddfftal
profile,i,"('o', 'b')","('p', 't')",trobfle
previous,u,"('e', 'x')","('i', 'n')",prexvnos
events,t,"('s', 'd')","('n', 's')",evessd
department,a,"('t', 'b')","('m', 'a')",deprtbaentb
description,i,"('n', 'v')","('c', 'l')",deslrptonv
insurance,n,"('i', 'v')","('a', 't')",ivsurtce
another,o,"('r', 'd')","('r', 'j')",anthejd
property,e,"('t', 'n')","('t', 'm')",proprmny
quality,t,"('a', 'r')","('u', 'g')",qgarliy
listing,t,"('g', 'm')","('g', 'x')",lisinxm
content,o,"('n', 's')","('e', 'm')",cnstmnst
country,t,"('c', 'j')","('o', 'g')",cjgunry
private,v,"('t', 't')","('t', 'k')",priakke
little,t,"('e', 'o')","('i', 'q')",lqleo
customer,r,"('e', 'z')","('s', 'v')",cuvtomez
december,e,"('m', 'q')","('r', 'u')",dcmqbu
compare,a,"('m', 'c')","('e', 'y')",comcpry
movies,o,"('i', 'h')","('v', 'e')",meihes
include,i,"('n', 'h')","('l', 't')",nhctude
college,e,"('c', 'o')","('l', 'u')",coouug
article,c,"('r', 'w')","('l', 'm')",arwtime
provide,v,"('i', 'h')","('r', 'u')",puoihde
source,e,"('s', 'y')","('s', 'y')",yyourc
author,h,"('u', 'f')","('r', 'q')",auftoq
different,n,"('d', 'r')","('f', 'd')",dridderet
around,u,"('r', 'z')","('o', 'v')",arzvnd
course,s,"('e', 't')","('u', 'y')",coyret
canada,a,"('d', 'x')","('x', 'r')",cndr
process,c,"('r', 'x')","('s', 'p')",prxoepp
training,g,"('a', 'y')","('y', 'u')",trauinin
credit,e,"('t', 'p')","('p', 'h')",crdith
science,i,"('n', 'c')","('c', 'j')",sjenjje
categories,e,"('o', 'k')","('k', 'r')",catgorris
advanced,d,"('v', 'e')","('v', 'm')",ameance
english,s,"('n', 'w')","('n', 'c')",ecwglih
estate,a,"('t', 'k')","('t', 'o')",esokoke
conditions,i,"('c', 'g')","('o', 'm')",cgmndtmns
select,c,"('s', 'y')","('e', 'm')",symlmt
windows,d,"('w', 'l')","('o', 'y')",wlinywls
photos,t,"('o', 'r')","('r', 'x')",phoxoxs
thread,a,"('d', 'h')","('e', 'h')",thrhdh
category,g,"('e', 'p')","('c', 'm')",matepory
gallery,l,"('r', 'x')","('a', 'o')",goerxy
register,g,"('t', 'r')","('r', 'm')",meistmem
however,v,"('e', 'v')","('h', 'c')",cowevevr
october,e,"('o', 'e')","('r', 'f')",oectoebf
november,n,"('e', 'm')","('b', 'g')",ovemmgemr
market,k,"('r', 'k')","('k', 'i')",mariet
library,y,"('r', 'i')","('i', 'p')",lpbrparp
really,r,"('y', 'b')","('l', 'h')",eahhyb
action,n,"('a', 'y')","('o', 'b')",ayctib
series,s,"('r', 'g')","('e', 't')",trgit
features,a,"('e', 'e')","('e', 'v')",fvvturvvs
industry,n,"('t', 'g')","('y', 'w')",idustgrw
provided,i,"('d', 'l')","('o', 't')",prtvdledl
required,e,"('q', 'j')","('r', 's')",sqjuisd
second,s,"('o', 's')","('d', 'm')",ecosnm
accessories,o,"('e', 'c')","('e', 'w')",accwcssriwcs
forums,s,"('o', 'd')","('m', 'y')",fodruy
september,e,"('r', 't')","('t', 'd')",spdmbrd
better,e,"('b', 'l')","('r', 'n')",blttn
questions,i,"('u', 'q')","('t', 'a')",quqesaons
medical,l,"('i', 'p')","('m', 'n')",nedipca
friend,i,"('n', 'w')","('r', 'n')",fnenwd
server,e,"('v', 't')","('r', 'y')",syvty
application,t,"('i', 'n')","('n', 's')",appliscaisos
articles,c,"('t', 'h')","('r', 'i')",aithiles
feedback,k,"('e', 'y')","('a', 's')",feyeydbsc
looking,i,"('g', 'm')","('o', 'a')",laakngm
issues,u,"('s', 'f')","('f', 'g')",isgsgesg
complete,e,"('m', 'k')","('m', 't')",cotkplt
street,t,"('e', 'r')","('s', 'q')",qrerer
comment,o,"('c', 'h')","('n', 'n')",chmment
financial,a,"('c', 'y')","('n', 'w')",fiwwcyil
things,n,"('g', 'o')","('t', 'c')",chigos
working,r,"('o', 'm')","('n', 'h')",womkihg
against,a,"('t', 'l')","('s', 'r')",ginrtl
standard,a,"('d', 'x')","('r', 'l')",stndxldx
person,n,"('s', 'i')","('r', 'i')",peisio
mobile,o,"('m', 'x')","('x', 'k')",mkbile
payment,p,"('t', 'r')","('r', 'w')",aymentw
equipment,u,"('p', 'g')","('n', 'i')",eqipgmeit
student,n,"('e', 'y')","('e', 't')",studtyt
programs,r,"('p', 'g')","('o', 'h')",pghgams
offers,f,"('e', 'j')","('o', 'w')",wejrs
recent,n,"('e', 'i')","('r', 'b')",beiceit
stores,e,"('o', 'w')","('t', 'u')",suowrs
problem,m,"('b', 'd')","('e', 'a')",probdla
memory,r,"('m', 'p')","('m', 'o')",opeopoy
performance,r,"('f', 'b')","('o', 'p')",pefbpmance
social,s,"('o', 'm')","('i', 'c')",omccal
august,s,"('a', 'e')","('e', 'z')",azugut
language,u,"('l', 'h')","('h', 'r')",lrangage
options,s,"('i', 't')","('t', 'z')",opzizon
experience,e,"('p', 'y')","('i', 'm')",xpyrmnc
create,a,"('t', 'j')","('j', 'n')",cretne
america,e,"('c', 't')","('a', 't')",tmrictt
important,m,"('r', 'u')","('r', 'i')",ipoiutant
single,e,"('s', 'f')","('f', 'f')",sfingl
activities,e,"('c', 'f')","('a', 'n')",ncftivitis
example,m,"('e', 't')","('t', 'j')",ejxaplej
additional,a,"('t', 'j')","('j', 'w')",dditwionl
password,d,"('p', 'v')","('s', 'i')",pvaiiwor
latest,t,"('a', 'n')","('l', 'r')",ranes
something,e,"('m', 'i')","('m', 'c')",socithing
question,q,"('e', 'z')","('t', 't')",uezstion
changes,e,"('g', 'j')","('n', 'd')",chadgjs
status,t,"('u', 'w')","('w', 'i')",sauis
browse,s,"('e', 'p')","('w', 'c')",brocep
building,b,"('d', 'x')","('i', 't')",utldxtng
seller,l,"('s', 'c')","('c', 'v')",sveer
february,f,"('y', 'v')","('a', 's')",ebrusryv
always,a,"('w', 'p')","('s', 'u')",lwpyu
result,u,"('s', 'f')","('l', 'n')",resfnt
groups,s,"('u', 'c')","('u', 'l')",grolcp
release,e,"('a', 'k')","('r', 'f')",flaks
analysis,s,"('l', 'w')","('l', 'j')",anajwyi
request,s,"('u', 'y')","('y', 'b')",requbet
making,i,"('m', 'k')","('a', 'k')",mkkkng
picture,p,"('u', 'q')","('e', 'a')",ictuqra
possible,e,"('s', 'b')","('b', 'q')",posqsqiql
professional,s,"('l', 'y')","('n', 'u')",profeioualy
future,u,"('f', 'g')","('t', 'r')",fgrre
committee,m,"('i', 'o')","('e', 'd')",coiottdd
problems,p,"('m', 't')","('l', 'w')",robwemts
london,o,"('d', 'r')","('l', 'r')",rndrn
washington,g,"('a', 'h')","('a', 'o')",wohshinton
meeting,m,"('g', 'e')","('i', 'w')",eetwnge
become,c,"('e', 'w')","('w', 'n')",benomen
interest,t,"('r', 'h')","('r', 'r')",inerhes
california,l,"('n', 'g')","('a', 'q')",cqiforngiq
similar,a,"('i', 'c')","('i', 'y')",sycmyclr
garden,d,"('r', 'z')","('e', 'i')",garzin
schools,s,"('c', 'j')","('l', 'j')",cjhooj
million,n,"('i', 's')","('o', 'e')",misllise
reference,c,"('e', 'l')","('l', 'r')",rerferrerner
companies,s,"('i', 'o')","('n', 'g')",compagioe
listed,d,"('i', 's')","('s', 'h')",lihhte
learning,n,"('l', 'k')","('i', 'p')",lkearpg
energy,y,"('r', 'm')","('g', 'z')",enermz
delivery,l,"('v', 'b')","('i', 'q')",deqvbery
popular,l,"('p', 'd')","('r', 'd')",pdopduad
stories,i,"('r', 'a')","('e', 'e')",storaes
computers,e,"('m', 'c')","('r', 'z')",comcputzs
journal,u,"('r', 't')","('a', 'm')",jortnml
reports,t,"('r', 'k')","('k', 'k')",rkeporks
welcome,m,"('e', 'y')","('y', 'r')",werlcoer
central,c,"('a', 'c')","('n', 'u')",eutracl
images,s,"('a', 'h')","('e', 'c')",imahgc
president,e,"('p', 'y')","('y', 'o')",porsidnt
notice,o,"('i', 'a')","('n', 'k')",ktiace
original,o,"('g', 'l')","('n', 'n')",riglinal
council,o,"('u', 'q')","('n', 's')",cuqscil
includes,c,"('n', 'f')","('n', 't')",itfludes
australia,l,"('t', 'p')","('s', 'h')",auhtpraia
discussion,i,"('s', 'o')","('u', 'v')",dsocvsosoon
archive,a,"('i', 'j')","('v', 'r')",rchijre
others,t,"('o', 'o')","('h', 's')",oosers
entertainment,r,"('n', 'n')","('e', 'i')",inntitainnminnt
agreement,n,"('e', 'g')","('g', 'p')",aprepepmept
format,f,"('r', 'm')","('a', 'l')",ormmlt
society,e,"('c', 'w')","('c', 'a')",soawity
months,s,"('t', 'i')","('m', 's')",sontih
safety,y,"('s', 't')","('t', 'p')",spafep
friends,s,"('i', 'y')","('d', 'h')",friyenh
edition,i,"('t', 'h')","('n', 'g')",edthog
messages,a,"('e', 'y')","('y', 'u')",meussgeus
marketing,a,"('m', 'j')","('n', 'b')",mjrketibg
further,h,"('r', 'x')","('r', 'c')",fucxtecx
updated,d,"('a', 'x')","('x', 'f')",upafte
association,o,"('s', 'z')","('t', 'l')",aszszcialin
having,n,"('g', 'i')","('a', 'i')",hivigi
provides,s,"('e', 'j')","('d', 'z')",provizej
already,a,"('d', 'c')","('r', 'y')",lyedcy
studies,t,"('s', 'x')","('s', 'z')",zxudiezx
common,o,"('m', 'c')","('m', 'a')",cacacn
specific,i,"('f', 'd')","('c', 'l')",spelfdl
several,a,"('l', 'v')","('v', 's')",seserls
living,i,"('n', 'd')","('v', 'p')",lpndg
collection,c,"('i', 't')","('e', 'u')",ollutiton
called,c,"('e', 'w')","('l', 'u')",auuewd
display,p,"('d', 'e')","('d', 'b')",beislay
limited,m,"('t', 'd')","('l', 'h')",hiitded
powered,r,"('o', 'm')","('w', 'l')",pomleed
solutions,s,"('t', 's')","('u', 'n')",olntsion
director,i,"('r', 'p')","('o', 'i')",drpectirp
natural,n,"('l', 'l')","('t', 'o')",aourall
whether,t,"('h', 'l')","('h', 'v')",wvlevler
electronics,r,"('c', 'u')","('t', 'b')",elecubonicus
period,i,"('r', 'g')","('p', 'o')",oergod
planning,l,"('n', 'g')","('g', 'a')",pananainaa
database,d,"('e', 'k')","('b', 'e')",ataeasek
official,i,"('o', 'y')","('c', 'g')",oyffgal
weather,h,"('e', 'h')","('e', 'y')",wyhatyhr
average,v,"('g', 'a')","('r', 'e')",aeeagae
technical,c,"('i', 'i')","('h', 'd')",tedniial
window,w,"('i', 'e')","('i', 'l')",lendo
france,r,"('e', 'k')","('f', 'f')",fancek
region,g,"('r', 'e')","('n', 'n')",reeion
island,n,"('i', 'x')","('i', 'p')",pxslad
record,o,"('c', 'q')","('r', 'd')",decqdd
direct,e,"('t', 'h')","('t', 'b')",dircbh
microsoft,t,"('o', 'o')","('m', 'b')",bicroosoof
conference,n,"('c', 'n')","('n', 'p')",cpoferecpe
environment,m,"('n', 'c')","('r', 't')",encvitoncenct
records,e,"('r', 'e')","('r', 't')",tecoteds
district,i,"('r', 't')","('t', 'j')",dsjrjcj
calendar,r,"('n', 't')","('d', 'd')",calentda
statement,t,"('n', 'u')","('u', 'r')",saemenr
update,e,"('p', 'n')","('d', 'h')",upnhat
downloads,a,"('o', 'o')","('o', 'n')",dnnwnlnnds
resource,e,"('o', 'n')","('o', 'v')",rsvnurc
present,e,"('s', 'e')","('t', 'p')",prsenp
applications,p,"('l', 'c')","('l', 'n')",ancications
either,e,"('h', 'z')","('t', 'r')",irhzr
document,d,"('e', 'r')","('r', 'v')",ocumevnt
material,a,"('r', 'l')","('l', 'v')",mterviv
written,n,"('t', 'x')","('w', 'j')",jritxtxe
federal,r,"('d', 'l')","('f', 's')",sedleal
hosting,i,"('o', 'e')","('n', 'p')",hoestpg
tickets,i,"('t', 'l')","('t', 'd')",dlckedls
centre,n,"('e', 'h')","('h', 'n')",centren
requirements,e,"('s', 'a')","('a', 'v')",rquirmntsv
finance,e,"('c', 'i')","('f', 'f')",financi
minutes,n,"('s', 'y')","('u', 'k')",miktesy
europe,r,"('e', 'f')","('f', 'e')",eeuopee
reading,i,"('g', 'm')","('r', 'e')",eeadngm
topics,s,"('t', 'c')","('c', 'q')",tqopiq
individual,i,"('d', 'n')","('a', 'k')",ndnvdnukl
usually,s,"('a', 'j')","('l', 'k')",uuajkky
together,o,"('t', 'e')","('g', 'y')",teyeteher
videos,o,"('v', 'v')","('v', 'i')",iiides
percent,c,"('t', 'n')","('e', 't')",ptrtntn
function,n,"('t', 'i')","('u', 'y')",fyctiio
getting,i,"('g', 'l')","('g', 'd')",dlettndl
global,o,"('l', 'p')","('a', 'v')",glpbvlp
economic,o,"('e', 'h')","('n', 't')",ehctmic
player,p,"('l', 'g')","('a', 'g')",lggyer
projects,o,"('s', 'i')","('c', 'k')",prjektsi
lyrics,l,"('y', 'p')","('s', 'n')",ypricn
subscribe,b,"('u', 'm')","('s', 'q')",qumqcrie
submit,i,"('b', 'c')","('c', 'x')",subxmt
germany,g,"('a', 'a')","('a', 'c')",ermccny
amount,o,"('t', 'n')","('t', 'm')",amunmn
included,e,"('c', 'd')","('d', 'a')",incaluaa
though,o,"('h', 'z')","('g', 'o')",thzuohz
thanks,s,"('a', 'c')","('c', 'd')",thadnk
everything,r,"('i', 's')","('i', 'q')",eveythqsng
various,v,"('o', 'j')","('u', 'k')",ariojks
production,d,"('t', 'y')","('o', 'c')",prcuctyicn
commercial,a,"('o', 'q')","('i', 'g')",coqmmercgl
weight,i,"('g', 'x')","('t', 'e')",wegxhe
advertising,e,"('d', 'e')","('r', 'g')",adevgtising
received,c,"('v', 'e')","('e', 'f')",rffivffd
choose,e,"('o', 'o')","('s', 's')",choooos
treatment,n,"('m', 'u')","('m', 'e')",treateuet
newsletter,t,"('e', 'p')","('p', 'u')",neuwsleueur
archives,i,"('s', 'i')","('a', 'l')",lrchvesi
points,t,"('p', 'j')","('i', 'o')",pjoons
knowledge,k,"('n', 'l')","('l', 'c')",ncowcedge
magazine,a,"('n', 't')","('n', 'm')",mgzimte
camera,e,"('a', 'r')","('r', 'x')",caxmxax
currently,c,"('y', 'z')","('e', 'k')",urrkntlyz
construction,i,"('c', 'q')","('o', 'b')",cqbnstrucqtbn
registered,r,"('g', 'z')","('t', 'w')",egzisweed
receive,r,"('v', 'u')","('c', 'b')",ebeivue
domain,o,"('i', 'o')","('o', 'q')",dmaiqn
methods,o,"('e', 'l')","('l', 'j')",mejthds
chapter,p,"('t', 'y')","('a', 'v')",chvtyer
protection,n,"('p', 'z')","('e', 'c')",pzrotcctio
policies,i,"('p', 'r')","('e', 'm')",prolcms
beauty,a,"('u', 'x')","('y', 't')",beuxtt
manager,r,"('a', 'k')","('a', 's')",msknskge
position,s,"('i', 'j')","('j', 'e')",poietieon
listings,i,"('t', 'r')","('r', 'u')",lstungs
models,d,"('o', 'v')","('s', 'x')",movelx
michael,e,"('a', 'c')","('c', 'v')",mivhavl
engineering,e,"('i', 'a')","('r', 'j')",ngianjiang
florida,l,"('o', 'k')","('a', 'p')",fokridp
simple,i,"('m', 'e')","('m', 'c')",sceple
wireless,l,"('s', 'z')","('i', 'q')",wqreeszsz
license,e,"('s', 'x')","('s', 'b')",licnbx
friday,y,"('i', 'y')","('d', 'e')",friyea
annual,a,"('l', 'e')","('n', 'f')",ffule
published,b,"('d', 'b')","('e', 'l')",pulishldb
corporate,p,"('e', 't')","('r', 'y')",coyoyatet
google,e,"('g', 'h')","('g', 'h')",hhoohhl
church,u,"('c', 'g')","('h', 'v')",cgvrcgv
method,o,"('h', 'o')","('t', 'y')",meyhod
purchase,s,"('h', 'q')","('a', 'f')",purchqfe
customers,t,"('s', 'i')","('c', 'u')",uusiomersi
active,i,"('t', 'r')","('a', 'w')",wctrve
response,e,"('p', 'c')","('s', 'f')",rfpconf
practice,t,"('c', 'q')","('a', 'n')",prncqicqe
hardware,a,"('r', 'o')","('r', 'a')",haodwaoe
figure,u,"('f', 'm')","('r', 'l')",fmigle
materials,e,"('l', 'c')","('a', 'h')",mhtrihlcs
holiday,h,"('i', 'd')","('y', 'w')",oliddaw
enough,h,"('o', 'z')","('n', 'e')",eeozug
designed,d,"('i', 'p')","('n', 'e')",esipgee
writing,g,"('n', 'p')","('t', 't')",writinp
countries,c,"('u', 'a')","('t', 'g')",ouangries
discount,s,"('u', 'x')","('n', 'd')",dicouxdt
higher,g,"('i', 'j')","('h', 'b')",bijber
effects,f,"('t', 'u')","('u', 'o')",eectos
created,c,"('r', 'p')","('t', 'r')",rpeared
remember,r,"('e', 'q')","('e', 'w')",wqmwqmbwq
standards,a,"('n', 'n')","('s', 't')",ttnndrdt
yellow,l,"('e', 's')","('o', 'f')",yesfw
political,o,"('c', 'c')","('l', 'r')",priticcar
increase,i,"('e', 'p')","('n', 'u')",ucrepasep
advertise,i,"('t', 'i')","('a', 'l')",ldvertise
kingdom,m,"('k', 'l')","('l', 'x')",kxingdo
environmental,t,"('a', 'd')","('l', 's')",environmenads
thought,h,"('u', 'e')","('t', 'l')",louegl
french,c,"('e', 'u')","('r', 'y')",fyeunh
storage,g,"('r', 'w')","('r', 'u')",stouwae
