obj,label,input,tar
d,"['p', 'r', 'o', 'dt', 'u', 'c', 't', 's']","['p', 'r', 'o', 'd', 'u', 'c', 't', 's']",dt
i,"['m', 'u', 's', 'if', 'c']","['m', 'u', 's', 'i', 'c']",if
y,"['b', 'u', 'yq']","['b', 'u', 'y']",yq
a,"['d', 'ac', 't', 'ac']","['d', 'a', 't', 'a']",ac
k,"['m', 'a', 'ky', 'e']","['m', 'a', 'k', 'e']",ky
t,"['tf', 'h', 'e', 'm']","['t', 'h', 'e', 'm']",tf
d,"['s', 'h', 'o', 'u', 'l', 'dj']","['s', 'h', 'o', 'u', 'l', 'd']",dj
p,"['ps', 'r', 'o', 'd', 'u', 'c', 't']","['p', 'r', 'o', 'd', 'u', 'c', 't']",ps
t,"['s', 'y', 's', 'th', 'e', 'm']","['s', 'y', 's', 't', 'e', 'm']",th
o,"['p', 'ov', 's', 't']","['p', 'o', 's', 't']",ov
e,"['h', 'el', 'r']","['h', 'e', 'r']",el
c,"['co', 'i', 't', 'y']","['c', 'i', 't', 'y']",co
a,"['an', 'd', 'd']","['a', 'd', 'd']",an
l,"['p', 'o', 'la', 'i', 'c', 'y']","['p', 'o', 'l', 'i', 'c', 'y']",la
r,"['n', 'u', 'm', 'b', 'e', 're']","['n', 'u', 'm', 'b', 'e', 'r']",re
h,"['s', 'u', 'c', 'hz']","['s', 'u', 'c', 'h']",hz
p,"['pm', 'l', 'e', 'a', 's', 'e']","['p', 'l', 'e', 'a', 's', 'e']",pm
e,"['a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'ek']","['a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'e']",ek
c,"['cf', 'o', 'p', 'y', 'r', 'i', 'g', 'h', 't']","['c', 'o', 'p', 'y', 'r', 'i', 'g', 'h', 't']",cf
u,"['s', 'uo', 'p', 'p', 'o', 'r', 't']","['s', 'u', 'p', 'p', 'o', 'r', 't']",uo
e,"['m', 'ex', 's', 's', 'a', 'g', 'ex']","['m', 'e', 's', 's', 'a', 'g', 'e']",ex
f,"['a', 'fw', 't', 'e', 'r']","['a', 'f', 't', 'e', 'r']",fw
s,"['b', 'e', 'sg', 't']","['b', 'e', 's', 't']",sg
w,"['s', 'o', 'f', 't', 'wk', 'a', 'r', 'e']","['s', 'o', 'f', 't', 'w', 'a', 'r', 'e']",wk
e,"['t', 'h', 'ej', 'n']","['t', 'h', 'e', 'n']",ej
a,"['j', 'ac', 'n']","['j', 'a', 'n']",ac
o,"['g', 'oz', 'oz', 'd']","['g', 'o', 'o', 'd']",oz
e,"['v', 'i', 'd', 'ec', 'o']","['v', 'i', 'd', 'e', 'o']",ec
l,"['w', 'e', 'lu', 'lu']","['w', 'e', 'l', 'l']",lu
h,"['w', 'hk', 'e', 'r', 'e']","['w', 'h', 'e', 'r', 'e']",hk
i,"['im', 'n', 'f', 'o']","['i', 'n', 'f', 'o']",im
t,"['r', 'i', 'g', 'h', 'tu', 's']","['r', 'i', 'g', 'h', 't', 's']",tu
i,"['p', 'u', 'b', 'l', 'in', 'c']","['p', 'u', 'b', 'l', 'i', 'c']",in
o,"['b', 'oq', 'oq', 'k', 's']","['b', 'o', 'o', 'k', 's']",oq
i,"['h', 'ih', 'g', 'h']","['h', 'i', 'g', 'h']",ih
h,"['s', 'c', 'hr', 'o', 'o', 'l']","['s', 'c', 'h', 'o', 'o', 'l']",hr
u,"['t', 'h', 'r', 'o', 'um', 'g', 'h']","['t', 'h', 'r', 'o', 'u', 'g', 'h']",um
a,"['e', 'aa', 'c', 'h']","['e', 'a', 'c', 'h']",aa
i,"['l', 'it', 'n', 'k', 's']","['l', 'i', 'n', 'k', 's']",it
s,"['sf', 'h', 'e']","['s', 'h', 'e']",sf
w,"['r', 'e', 'v', 'i', 'e', 'wd']","['r', 'e', 'v', 'i', 'e', 'w']",wd
s,"['y', 'e', 'a', 'r', 'sh']","['y', 'e', 'a', 'r', 's']",sh
o,"['ox', 'r', 'd', 'e', 'r']","['o', 'r', 'd', 'e', 'r']",ox
v,"['vf', 'e', 'r', 'y']","['v', 'e', 'r', 'y']",vf
p,"['po', 'r', 'i', 'v', 'a', 'c', 'y']","['p', 'r', 'i', 'v', 'a', 'c', 'y']",po
o,"['b', 'oy', 'oy', 'k']","['b', 'o', 'o', 'k']",oy
m,"['i', 't', 'e', 'mi', 's']","['i', 't', 'e', 'm', 's']",mi
o,"['c', 'ot', 'm', 'p', 'a', 'n', 'y']","['c', 'o', 'm', 'p', 'a', 'n', 'y']",ot
e,"['r', 'ev', 'a', 'd']","['r', 'e', 'a', 'd']",ev
o,"['g', 'r', 'oo', 'u', 'p']","['g', 'r', 'o', 'u', 'p']",oo
x,"['s', 'e', 'xs']","['s', 'e', 'x']",xs
e,"['n', 'eq', 'eq', 'd']","['n', 'e', 'e', 'd']",eq
n,"['m', 'a', 'nu', 'y']","['m', 'a', 'n', 'y']",nu
e,"['u', 's', 'ew', 'r']","['u', 's', 'e', 'r']",ew
a,"['s', 'an', 'i', 'd']","['s', 'a', 'i', 'd']",an
e,"['d', 'o', 'ea', 's']","['d', 'o', 'e', 's']",ea
e,"['s', 'ev', 't']","['s', 'e', 't']",ev
n,"['u', 'nq', 'd', 'e', 'r']","['u', 'n', 'd', 'e', 'r']",nq
n,"['g', 'e', 'nf', 'e', 'r', 'a', 'l']","['g', 'e', 'n', 'e', 'r', 'a', 'l']",nf
s,"['r', 'e', 'sa', 'e', 'a', 'r', 'c', 'h']","['r', 'e', 's', 'e', 'a', 'r', 'c', 'h']",sa
t,"['u', 'n', 'i', 'v', 'e', 'r', 's', 'i', 'ti', 'y']","['u', 'n', 'i', 'v', 'e', 'r', 's', 'i', 't', 'y']",ti
n,"['j', 'a', 'nq', 'u', 'a', 'r', 'y']","['j', 'a', 'n', 'u', 'a', 'r', 'y']",nq
m,"['mi', 'a', 'i', 'l']","['m', 'a', 'i', 'l']",mi
u,"['f', 'uz', 'l', 'l']","['f', 'u', 'l', 'l']",uz
m,"['mf', 'a', 'p']","['m', 'a', 'p']",mf
v,"['r', 'e', 'vl', 'i', 'e', 'w', 's']","['r', 'e', 'v', 'i', 'e', 'w', 's']",vl
a,"['p', 'r', 'o', 'g', 'r', 'am', 'm']","['p', 'r', 'o', 'g', 'r', 'a', 'm']",am
f,"['l', 'i', 'fx', 'e']","['l', 'i', 'f', 'e']",fx
o,"['k', 'n', 'op', 'w']","['k', 'n', 'o', 'w']",op
m,"['g', 'a', 'ms', 'e', 's']","['g', 'a', 'm', 'e', 's']",ms
w,"['wp', 'a', 'y']","['w', 'a', 'y']",wp
s,"['d', 'a', 'y', 'su']","['d', 'a', 'y', 's']",su
m,"['ml', 'a', 'n', 'a', 'g', 'e', 'ml', 'e', 'n', 't']","['m', 'a', 'n', 'a', 'g', 'e', 'm', 'e', 'n', 't']",ml
r,"['p', 'a', 'rp', 't']","['p', 'a', 'r', 't']",rp
c,"['ct', 'o', 'u', 'l', 'd']","['c', 'o', 'u', 'l', 'd']",ct
g,"['gq', 'r', 'e', 'a', 't']","['g', 'r', 'e', 'a', 't']",gq
t,"['u', 'n', 'i', 'tg', 'e', 'd']","['u', 'n', 'i', 't', 'e', 'd']",tg
e,"['h', 'o', 't', 'ec', 'l']","['h', 'o', 't', 'e', 'l']",ec
a,"['r', 'e', 'at', 'l']","['r', 'e', 'a', 'l']",at
e,"['i', 't', 'ef', 'm']","['i', 't', 'e', 'm']",ef
e,"['i', 'n', 't', 'eu', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l']","['i', 'n', 't', 'e', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l']",eu
e,"['c', 'ec', 'n', 't', 'ec', 'r']","['c', 'e', 'n', 't', 'e', 'r']",ec
y,"['e', 'b', 'a', 'yh']","['e', 'b', 'a', 'y']",yh
s,"['m', 'u', 'sm', 't']","['m', 'u', 's', 't']",sm
o,"['s', 't', 'on', 'r', 'e']","['s', 't', 'o', 'r', 'e']",on
r,"['t', 'rk', 'a', 'v', 'e', 'l']","['t', 'r', 'a', 'v', 'e', 'l']",rk
m,"['c', 'o', 'mv', 'mv', 'e', 'n', 't', 's']","['c', 'o', 'm', 'm', 'e', 'n', 't', 's']",mv
e,"['m', 'a', 'd', 'es']","['m', 'a', 'd', 'e']",es
m,"['d', 'e', 'v', 'e', 'l', 'o', 'p', 'mf', 'e', 'n', 't']","['d', 'e', 'v', 'e', 'l', 'o', 'p', 'm', 'e', 'n', 't']",mf
e,"['r', 'ev', 'p', 'o', 'r', 't']","['r', 'e', 'p', 'o', 'r', 't']",ev
f,"['o', 'ft', 'ft']","['o', 'f', 'f']",ft
b,"['m', 'e', 'm', 'bp', 'e', 'r']","['m', 'e', 'm', 'b', 'e', 'r']",bp
i,"['d', 'e', 't', 'a', 'ik', 'l', 's']","['d', 'e', 't', 'a', 'i', 'l', 's']",ik
e,"['l', 'i', 'n', 'ez']","['l', 'i', 'n', 'e']",ez
s,"['t', 'e', 'r', 'm', 'sm']","['t', 'e', 'r', 'm', 's']",sm
b,"['bk', 'e', 'f', 'o', 'r', 'e']","['b', 'e', 'f', 'o', 'r', 'e']",bk
h,"['hl', 'o', 't', 'e', 'l', 's']","['h', 'o', 't', 'e', 'l', 's']",hl
d,"['dw', 'i', 'dw']","['d', 'i', 'd']",dw
d,"['s', 'e', 'n', 'dt']","['s', 'e', 'n', 'd']",dt
i,"['r', 'ih', 'g', 'h', 't']","['r', 'i', 'g', 'h', 't']",ih
p,"['t', 'y', 'pw', 'e']","['t', 'y', 'p', 'e']",pw
e,"['b', 'ez', 'c', 'a', 'u', 's', 'ez']","['b', 'e', 'c', 'a', 'u', 's', 'e']",ez
o,"['l', 'ov', 'c', 'a', 'l']","['l', 'o', 'c', 'a', 'l']",ov
t,"['td', 'h', 'o', 's', 'e']","['t', 'h', 'o', 's', 'e']",td
s,"['u', 'sl', 'i', 'n', 'g']","['u', 's', 'i', 'n', 'g']",sl
r,"['ry', 'e', 's', 'u', 'l', 't', 's']","['r', 'e', 's', 'u', 'l', 't', 's']",ry
o,"['ov', 'f', 'f', 'i', 'c', 'e']","['o', 'f', 'f', 'i', 'c', 'e']",ov
u,"['e', 'd', 'ul', 'c', 'a', 't', 'i', 'o', 'n']","['e', 'd', 'u', 'c', 'a', 't', 'i', 'o', 'n']",ul
a,"['n', 'al', 't', 'i', 'o', 'n', 'al', 'l']","['n', 'a', 't', 'i', 'o', 'n', 'a', 'l']",al
c,"['cy', 'a', 'r']","['c', 'a', 'r']",cy
g,"['d', 'e', 's', 'i', 'gt', 'n']","['d', 'e', 's', 'i', 'g', 'n']",gt
t,"['tv', 'a', 'k', 'e']","['t', 'a', 'k', 'e']",tv
e,"['p', 'o', 's', 't', 'eh', 'd']","['p', 'o', 's', 't', 'e', 'd']",eh
i,"['ie', 'n', 't', 'e', 'r', 'n', 'e', 't']","['i', 'n', 't', 'e', 'r', 'n', 'e', 't']",ie
d,"['a', 'ds', 'ds', 'r', 'e', 's', 's']","['a', 'd', 'd', 'r', 'e', 's', 's']",ds
c,"['cx', 'o', 'm', 'm', 'u', 'n', 'i', 't', 'y']","['c', 'o', 'm', 'm', 'u', 'n', 'i', 't', 'y']",cx
t,"['w', 'i', 'tq', 'h', 'i', 'n']","['w', 'i', 't', 'h', 'i', 'n']",tq
a,"['s', 't', 'at', 't', 'e', 's']","['s', 't', 'a', 't', 'e', 's']",at
r,"['a', 'rn', 'e', 'a']","['a', 'r', 'e', 'a']",rn
n,"['w', 'a', 'nm', 't']","['w', 'a', 'n', 't']",nm
p,"['po', 'h', 'o', 'n', 'e']","['p', 'h', 'o', 'n', 'e']",po
d,"['ds', 'v', 'ds']","['d', 'v', 'd']",ds
n,"['s', 'h', 'i', 'p', 'p', 'i', 'nd', 'g']","['s', 'h', 'i', 'p', 'p', 'i', 'n', 'g']",nd
r,"['rc', 'e', 's', 'e', 'rc', 'v', 'e', 'd']","['r', 'e', 's', 'e', 'r', 'v', 'e', 'd']",rc
s,"['sp', 'u', 'b', 'j', 'e', 'c', 't']","['s', 'u', 'b', 'j', 'e', 'c', 't']",sp
t,"['b', 'e', 'tj', 'w', 'e', 'e', 'n']","['b', 'e', 't', 'w', 'e', 'e', 'n']",tj
f,"['fd', 'o', 'r', 'u', 'm']","['f', 'o', 'r', 'u', 'm']",fd
m,"['f', 'a', 'mc', 'i', 'l', 'y']","['f', 'a', 'm', 'i', 'l', 'y']",mc
n,"['l', 'o', 'nx', 'g']","['l', 'o', 'n', 'g']",nx
e,"['b', 'a', 's', 'eb', 'd']","['b', 'a', 's', 'e', 'd']",eb
c,"['cj', 'o', 'd', 'e']","['c', 'o', 'd', 'e']",cj
s,"['sl', 'h', 'o', 'w']","['s', 'h', 'o', 'w']",sl
v,"['e', 'vm', 'e', 'n']","['e', 'v', 'e', 'n']",vm
c,"['b', 'l', 'a', 'cq', 'k']","['b', 'l', 'a', 'c', 'k']",cq
c,"['cs', 'h', 'e', 'cs', 'k']","['c', 'h', 'e', 'c', 'k']",cs
l,"['s', 'p', 'e', 'c', 'i', 'a', 'li']","['s', 'p', 'e', 'c', 'i', 'a', 'l']",li
s,"['p', 'r', 'i', 'c', 'e', 'sl']","['p', 'r', 'i', 'c', 'e', 's']",sl
e,"['w', 'eo', 'b', 's', 'i', 't', 'eo']","['w', 'e', 'b', 's', 'i', 't', 'e']",eo
e,"['i', 'n', 'd', 'ec', 'x']","['i', 'n', 'd', 'e', 'x']",ec
n,"['b', 'e', 'i', 'nk', 'g']","['b', 'e', 'i', 'n', 'g']",nk
w,"['wi', 'o', 'm', 'e', 'n']","['w', 'o', 'm', 'e', 'n']",wi
u,"['m', 'uk', 'c', 'h']","['m', 'u', 'c', 'h']",uk
s,"['su', 'i', 'g', 'n']","['s', 'i', 'g', 'n']",su
l,"['f', 'i', 'lb', 'e']","['f', 'i', 'l', 'e']",lb
i,"['l', 'ia', 'n', 'k']","['l', 'i', 'n', 'k']",ia
e,"['o', 'p', 'ey', 'n']","['o', 'p', 'e', 'n']",ey
t,"['tu', 'o', 'd', 'a', 'y']","['t', 'o', 'd', 'a', 'y']",tu
o,"['t', 'e', 'c', 'h', 'n', 'og', 'l', 'og', 'g', 'y']","['t', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y']",og
h,"['s', 'o', 'u', 't', 'hn']","['s', 'o', 'u', 't', 'h']",hn
s,"['c', 'a', 'sf', 'e']","['c', 'a', 's', 'e']",sf
c,"['p', 'r', 'o', 'j', 'e', 'cv', 't']","['p', 'r', 'o', 'j', 'e', 'c', 't']",cv
e,"['s', 'a', 'm', 'eb']","['s', 'a', 'm', 'e']",eb
a,"['p', 'ap', 'g', 'e', 's']","['p', 'a', 'g', 'e', 's']",ap
o,"['v', 'e', 'r', 's', 'i', 'os', 'n']","['v', 'e', 'r', 's', 'i', 'o', 'n']",os
s,"['sm', 'e', 'c', 't', 'i', 'o', 'n']","['s', 'e', 'c', 't', 'i', 'o', 'n']",sm
o,"['oz', 'w', 'n']","['o', 'w', 'n']",oz
o,"['f', 'of', 'u', 'n', 'd']","['f', 'o', 'u', 'n', 'd']",of
t,"['s', 'p', 'o', 'r', 'tx', 's']","['s', 'p', 'o', 'r', 't', 's']",tx
o,"['h', 'ob', 'u', 's', 'e']","['h', 'o', 'u', 's', 'e']",ob
t,"['r', 'e', 'l', 'a', 'tx', 'e', 'd']","['r', 'e', 'l', 'a', 't', 'e', 'd']",tx
c,"['s', 'e', 'ck', 'u', 'r', 'i', 't', 'y']","['s', 'e', 'c', 'u', 'r', 'i', 't', 'y']",ck
b,"['bz', 'o', 't', 'h']","['b', 'o', 't', 'h']",bz
o,"['c', 'oj', 'u', 'n', 't', 'y']","['c', 'o', 'u', 'n', 't', 'y']",oj
a,"['av', 'm', 'e', 'r', 'i', 'c', 'av', 'n']","['a', 'm', 'e', 'r', 'i', 'c', 'a', 'n']",av
p,"['ph', 'h', 'o', 't', 'o']","['p', 'h', 'o', 't', 'o']",ph
a,"['g', 'au', 'm', 'e']","['g', 'a', 'm', 'e']",au
s,"['m', 'e', 'm', 'b', 'e', 'r', 'sc']","['m', 'e', 'm', 'b', 'e', 'r', 's']",sc
e,"['p', 'o', 'w', 'em', 'r']","['p', 'o', 'w', 'e', 'r']",em
l,"['w', 'h', 'i', 'lb', 'e']","['w', 'h', 'i', 'l', 'e']",lb
r,"['c', 'a', 're', 'e']","['c', 'a', 'r', 'e']",re
e,"['n', 'ea', 't', 'w', 'o', 'r', 'k']","['n', 'e', 't', 'w', 'o', 'r', 'k']",ea
w,"['d', 'o', 'ws', 'n']","['d', 'o', 'w', 'n']",ws
p,"['c', 'o', 'm', 'pw', 'u', 't', 'e', 'r']","['c', 'o', 'm', 'p', 'u', 't', 'e', 'r']",pw
t,"['s', 'y', 's', 'tj', 'e', 'm', 's']","['s', 'y', 's', 't', 'e', 'm', 's']",tj
e,"['t', 'h', 'r', 'ez', 'ez']","['t', 'h', 'r', 'e', 'e']",ez
a,"['t', 'o', 't', 'ay', 'l']","['t', 'o', 't', 'a', 'l']",ay
a,"['p', 'l', 'ai', 'c', 'e']","['p', 'l', 'a', 'c', 'e']",ai
n,"['e', 'nr', 'd']","['e', 'n', 'd']",nr
n,"['f', 'o', 'l', 'l', 'o', 'w', 'i', 'na', 'g']","['f', 'o', 'l', 'l', 'o', 'w', 'i', 'n', 'g']",na
d,"['dw', 'o', 'w', 'n', 'l', 'o', 'a', 'dw']","['d', 'o', 'w', 'n', 'l', 'o', 'a', 'd']",dw
h,"['hz', 'i', 'm']","['h', 'i', 'm']",hz
w,"['we', 'i', 't', 'h', 'o', 'u', 't']","['w', 'i', 't', 'h', 'o', 'u', 't']",we
r,"['p', 'e', 'rv']","['p', 'e', 'r']",rv
e,"['a', 'c', 'c', 'ey', 's', 's']","['a', 'c', 'c', 'e', 's', 's']",ey
h,"['t', 'hz', 'i', 'n', 'k']","['t', 'h', 'i', 'n', 'k']",hz
h,"['n', 'o', 'r', 't', 'hm']","['n', 'o', 'r', 't', 'h']",hm
o,"['r', 'e', 's', 'ot', 'u', 'r', 'c', 'e', 's']","['r', 'e', 's', 'o', 'u', 'r', 'c', 'e', 's']",ot
c,"['cu', 'u', 'r', 'r', 'e', 'n', 't']","['c', 'u', 'r', 'r', 'e', 'n', 't']",cu
o,"['p', 'or', 's', 't', 's']","['p', 'o', 's', 't', 's']",or
b,"['bw', 'i', 'g']","['b', 'i', 'g']",bw
m,"['mt', 'e', 'd', 'i', 'a']","['m', 'e', 'd', 'i', 'a']",mt
a,"['l', 'ay', 'w']","['l', 'a', 'w']",ay
o,"['c', 'ok', 'n', 't', 'r', 'ok', 'l']","['c', 'o', 'n', 't', 'r', 'o', 'l']",ok
t,"['w', 'a', 'ti', 'e', 'r']","['w', 'a', 't', 'e', 'r']",ti
i,"['h', 'ia', 's', 't', 'o', 'r', 'y']","['h', 'i', 's', 't', 'o', 'r', 'y']",ia
p,"['pk', 'i', 'c', 't', 'u', 'r', 'e', 's']","['p', 'i', 'c', 't', 'u', 'r', 'e', 's']",pk
z,"['s', 'i', 'zd', 'e']","['s', 'i', 'z', 'e']",zd
t,"['a', 'r', 'ti']","['a', 'r', 't']",ti
a,"['p', 'e', 'r', 's', 'o', 'n', 'am', 'l']","['p', 'e', 'r', 's', 'o', 'n', 'a', 'l']",am
n,"['s', 'i', 'nt', 'c', 'e']","['s', 'i', 'n', 'c', 'e']",nt
u,"['i', 'n', 'c', 'l', 'uy', 'd', 'i', 'n', 'g']","['i', 'n', 'c', 'l', 'u', 'd', 'i', 'n', 'g']",uy
d,"['g', 'u', 'i', 'dk', 'e']","['g', 'u', 'i', 'd', 'e']",dk
o,"['s', 'h', 'ot', 'p']","['s', 'h', 'o', 'p']",ot
r,"['d', 'i', 'ru', 'e', 'c', 't', 'o', 'ru', 'y']","['d', 'i', 'r', 'e', 'c', 't', 'o', 'r', 'y']",ru
a,"['b', 'o', 'al', 'r', 'd']","['b', 'o', 'a', 'r', 'd']",al
t,"['l', 'o', 'c', 'a', 'tu', 'i', 'o', 'n']","['l', 'o', 'c', 'a', 't', 'i', 'o', 'n']",tu
g,"['c', 'h', 'a', 'n', 'gq', 'e']","['c', 'h', 'a', 'n', 'g', 'e']",gq
i,"['w', 'h', 'is', 't', 'e']","['w', 'h', 'i', 't', 'e']",is
x,"['t', 'e', 'xl', 't']","['t', 'e', 'x', 't']",xl
a,"['s', 'm', 'ai', 'l', 'l']","['s', 'm', 'a', 'l', 'l']",ai
