obj,tar,input,label
e,o,"['w', 'h', 'e', 'r', 'e']","['w', 'h', 'o', 'r', 'o']"
f,c,"['i', 'n', 'f', 'o']","['i', 'n', 'c', 'o']"
r,e,"['r', 'i', 'g', 'h', 't', 's']","['e', 'i', 'g', 'h', 't', 's']"
c,t,"['p', 'u', 'b', 'l', 'i', 'c']","['p', 'u', 'b', 'l', 'i', 't']"
k,z,"['b', 'o', 'o', 'k', 's']","['b', 'o', 'o', 'z', 's']"
g,k,"['h', 'i', 'g', 'h']","['h', 'i', 'k', 'h']"
h,l,"['s', 'c', 'h', 'o', 'o', 'l']","['s', 'c', 'l', 'o', 'o', 'l']"
h,c,"['t', 'h', 'r', 'o', 'u', 'g', 'h']","['t', 'c', 'r', 'o', 'u', 'g', 'c']"
e,r,"['e', 'a', 'c', 'h']","['r', 'a', 'c', 'h']"
k,d,"['l', 'i', 'n', 'k', 's']","['l', 'i', 'n', 'd', 's']"
e,b,"['s', 'h', 'e']","['s', 'h', 'b']"
r,y,"['r', 'e', 'v', 'i', 'e', 'w']","['y', 'e', 'v', 'i', 'e', 'w']"
y,k,"['y', 'e', 'a', 'r', 's']","['k', 'e', 'a', 'r', 's']"
d,n,"['o', 'r', 'd', 'e', 'r']","['o', 'r', 'n', 'e', 'r']"
y,b,"['v', 'e', 'r', 'y']","['v', 'e', 'r', 'b']"
c,v,"['p', 'r', 'i', 'v', 'a', 'c', 'y']","['p', 'r', 'i', 'v', 'a', 'v', 'y']"
k,g,"['b', 'o', 'o', 'k']","['b', 'o', 'o', 'g']"
t,j,"['i', 't', 'e', 'm', 's']","['i', 'j', 'e', 'm', 's']"
o,d,"['c', 'o', 'm', 'p', 'a', 'n', 'y']","['c', 'd', 'm', 'p', 'a', 'n', 'y']"
a,s,"['r', 'e', 'a', 'd']","['r', 'e', 's', 'd']"
r,v,"['g', 'r', 'o', 'u', 'p']","['g', 'v', 'o', 'u', 'p']"
s,h,"['s', 'e', 'x']","['h', 'e', 'x']"
e,z,"['n', 'e', 'e', 'd']","['n', 'z', 'z', 'd']"
a,e,"['m', 'a', 'n', 'y']","['m', 'e', 'n', 'y']"
u,f,"['u', 's', 'e', 'r']","['f', 's', 'e', 'r']"
s,t,"['s', 'a', 'i', 'd']","['t', 'a', 'i', 'd']"
e,r,"['d', 'o', 'e', 's']","['d', 'o', 'r', 's']"
t,s,"['s', 'e', 't']","['s', 'e', 's']"
r,z,"['u', 'n', 'd', 'e', 'r']","['u', 'n', 'd', 'e', 'z']"
r,b,"['g', 'e', 'n', 'e', 'r', 'a', 'l']","['g', 'e', 'n', 'e', 'b', 'a', 'l']"
h,r,"['r', 'e', 's', 'e', 'a', 'r', 'c', 'h']","['r', 'e', 's', 'e', 'a', 'r', 'c', 'r']"
t,j,"['u', 'n', 'i', 'v', 'e', 'r', 's', 'i', 't', 'y']","['u', 'n', 'i', 'v', 'e', 'r', 's', 'i', 'j', 'y']"
r,z,"['j', 'a', 'n', 'u', 'a', 'r', 'y']","['j', 'a', 'n', 'u', 'a', 'z', 'y']"
m,j,"['m', 'a', 'i', 'l']","['j', 'a', 'i', 'l']"
u,p,"['f', 'u', 'l', 'l']","['f', 'p', 'l', 'l']"
a,b,"['m', 'a', 'p']","['m', 'b', 'p']"
s,q,"['r', 'e', 'v', 'i', 'e', 'w', 's']","['r', 'e', 'v', 'i', 'e', 'w', 'q']"
m,c,"['p', 'r', 'o', 'g', 'r', 'a', 'm']","['p', 'r', 'o', 'g', 'r', 'a', 'c']"
l,n,"['l', 'i', 'f', 'e']","['n', 'i', 'f', 'e']"
w,m,"['k', 'n', 'o', 'w']","['k', 'n', 'o', 'm']"
g,h,"['g', 'a', 'm', 'e', 's']","['h', 'a', 'm', 'e', 's']"
a,m,"['w', 'a', 'y']","['w', 'm', 'y']"
y,e,"['d', 'a', 'y', 's']","['d', 'a', 'e', 's']"
t,q,"['m', 'a', 'n', 'a', 'g', 'e', 'm', 'e', 'n', 't']","['m', 'a', 'n', 'a', 'g', 'e', 'm', 'e', 'n', 'q']"
a,m,"['p', 'a', 'r', 't']","['p', 'm', 'r', 't']"
d,d,"['c', 'o', 'u', 'l', 'd']","['c', 'o', 'u', 'l', 'd']"
t,z,"['g', 'r', 'e', 'a', 't']","['g', 'r', 'e', 'a', 'z']"
n,i,"['u', 'n', 'i', 't', 'e', 'd']","['u', 'i', 'i', 't', 'e', 'd']"
e,x,"['h', 'o', 't', 'e', 'l']","['h', 'o', 't', 'x', 'l']"
e,d,"['r', 'e', 'a', 'l']","['r', 'd', 'a', 'l']"
e,b,"['i', 't', 'e', 'm']","['i', 't', 'b', 'm']"
l,e,"['i', 'n', 't', 'e', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l']","['i', 'n', 't', 'e', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'e']"
e,x,"['c', 'e', 'n', 't', 'e', 'r']","['c', 'x', 'n', 't', 'x', 'r']"
b,k,"['e', 'b', 'a', 'y']","['e', 'k', 'a', 'y']"
m,c,"['m', 'u', 's', 't']","['c', 'u', 's', 't']"
t,t,"['s', 't', 'o', 'r', 'e']","['s', 't', 'o', 'r', 'e']"
e,o,"['t', 'r', 'a', 'v', 'e', 'l']","['t', 'r', 'a', 'v', 'o', 'l']"
s,s,"['c', 'o', 'm', 'm', 'e', 'n', 't', 's']","['c', 'o', 'm', 'm', 'e', 'n', 't', 's']"
d,h,"['m', 'a', 'd', 'e']","['m', 'a', 'h', 'e']"
e,b,"['d', 'e', 'v', 'e', 'l', 'o', 'p', 'm', 'e', 'n', 't']","['d', 'b', 'v', 'b', 'l', 'o', 'p', 'm', 'b', 'n', 't']"
e,s,"['r', 'e', 'p', 'o', 'r', 't']","['r', 's', 'p', 'o', 'r', 't']"
o,d,"['o', 'f', 'f']","['d', 'f', 'f']"
b,m,"['m', 'e', 'm', 'b', 'e', 'r']","['m', 'e', 'm', 'm', 'e', 'r']"
s,o,"['d', 'e', 't', 'a', 'i', 'l', 's']","['d', 'e', 't', 'a', 'i', 'l', 'o']"
i,p,"['l', 'i', 'n', 'e']","['l', 'p', 'n', 'e']"
e,c,"['t', 'e', 'r', 'm', 's']","['t', 'c', 'r', 'm', 's']"
f,o,"['b', 'e', 'f', 'o', 'r', 'e']","['b', 'e', 'o', 'o', 'r', 'e']"
h,q,"['h', 'o', 't', 'e', 'l', 's']","['q', 'o', 't', 'e', 'l', 's']"
d,f,"['d', 'i', 'd']","['f', 'i', 'f']"
s,d,"['s', 'e', 'n', 'd']","['d', 'e', 'n', 'd']"
h,k,"['r', 'i', 'g', 'h', 't']","['r', 'i', 'g', 'k', 't']"
p,f,"['t', 'y', 'p', 'e']","['t', 'y', 'f', 'e']"
u,p,"['b', 'e', 'c', 'a', 'u', 's', 'e']","['b', 'e', 'c', 'a', 'p', 's', 'e']"
c,s,"['l', 'o', 'c', 'a', 'l']","['l', 'o', 's', 'a', 'l']"
t,y,"['t', 'h', 'o', 's', 'e']","['y', 'h', 'o', 's', 'e']"
u,q,"['u', 's', 'i', 'n', 'g']","['q', 's', 'i', 'n', 'g']"
u,g,"['r', 'e', 's', 'u', 'l', 't', 's']","['r', 'e', 's', 'g', 'l', 't', 's']"
o,s,"['o', 'f', 'f', 'i', 'c', 'e']","['s', 'f', 'f', 'i', 'c', 'e']"
c,q,"['e', 'd', 'u', 'c', 'a', 't', 'i', 'o', 'n']","['e', 'd', 'u', 'q', 'a', 't', 'i', 'o', 'n']"
l,q,"['n', 'a', 't', 'i', 'o', 'n', 'a', 'l']","['n', 'a', 't', 'i', 'o', 'n', 'a', 'q']"
c,g,"['c', 'a', 'r']","['g', 'a', 'r']"
n,d,"['d', 'e', 's', 'i', 'g', 'n']","['d', 'e', 's', 'i', 'g', 'd']"
t,s,"['t', 'a', 'k', 'e']","['s', 'a', 'k', 'e']"
e,k,"['p', 'o', 's', 't', 'e', 'd']","['p', 'o', 's', 't', 'k', 'd']"
i,w,"['i', 'n', 't', 'e', 'r', 'n', 'e', 't']","['w', 'n', 't', 'e', 'r', 'n', 'e', 't']"
r,h,"['a', 'd', 'd', 'r', 'e', 's', 's']","['a', 'd', 'd', 'h', 'e', 's', 's']"
n,n,"['c', 'o', 'm', 'm', 'u', 'n', 'i', 't', 'y']","['c', 'o', 'm', 'm', 'u', 'n', 'i', 't', 'y']"
n,z,"['w', 'i', 't', 'h', 'i', 'n']","['w', 'i', 't', 'h', 'i', 'z']"
e,d,"['s', 't', 'a', 't', 'e', 's']","['s', 't', 'a', 't', 'd', 's']"
a,t,"['a', 'r', 'e', 'a']","['t', 'r', 'e', 't']"
n,c,"['w', 'a', 'n', 't']","['w', 'a', 'c', 't']"
h,v,"['p', 'h', 'o', 'n', 'e']","['p', 'v', 'o', 'n', 'e']"
d,h,"['d', 'v', 'd']","['h', 'v', 'h']"
g,y,"['s', 'h', 'i', 'p', 'p', 'i', 'n', 'g']","['s', 'h', 'i', 'p', 'p', 'i', 'n', 'y']"
e,x,"['r', 'e', 's', 'e', 'r', 'v', 'e', 'd']","['r', 'x', 's', 'x', 'r', 'v', 'x', 'd']"
j,m,"['s', 'u', 'b', 'j', 'e', 'c', 't']","['s', 'u', 'b', 'm', 'e', 'c', 't']"
t,u,"['b', 'e', 't', 'w', 'e', 'e', 'n']","['b', 'e', 'u', 'w', 'e', 'e', 'n']"
f,y,"['f', 'o', 'r', 'u', 'm']","['y', 'o', 'r', 'u', 'm']"
f,x,"['f', 'a', 'm', 'i', 'l', 'y']","['x', 'a', 'm', 'i', 'l', 'y']"
l,n,"['l', 'o', 'n', 'g']","['n', 'o', 'n', 'g']"
s,a,"['b', 'a', 's', 'e', 'd']","['b', 'a', 'a', 'e', 'd']"
c,u,"['c', 'o', 'd', 'e']","['u', 'o', 'd', 'e']"
w,q,"['s', 'h', 'o', 'w']","['s', 'h', 'o', 'q']"
v,c,"['e', 'v', 'e', 'n']","['e', 'c', 'e', 'n']"
b,z,"['b', 'l', 'a', 'c', 'k']","['z', 'l', 'a', 'c', 'k']"
c,h,"['c', 'h', 'e', 'c', 'k']","['h', 'h', 'e', 'h', 'k']"
a,j,"['s', 'p', 'e', 'c', 'i', 'a', 'l']","['s', 'p', 'e', 'c', 'i', 'j', 'l']"
p,q,"['p', 'r', 'i', 'c', 'e', 's']","['q', 'r', 'i', 'c', 'e', 's']"
s,v,"['w', 'e', 'b', 's', 'i', 't', 'e']","['w', 'e', 'b', 'v', 'i', 't', 'e']"
e,x,"['i', 'n', 'd', 'e', 'x']","['i', 'n', 'd', 'x', 'x']"
g,o,"['b', 'e', 'i', 'n', 'g']","['b', 'e', 'i', 'n', 'o']"
m,j,"['w', 'o', 'm', 'e', 'n']","['w', 'o', 'j', 'e', 'n']"
h,o,"['m', 'u', 'c', 'h']","['m', 'u', 'c', 'o']"
s,e,"['s', 'i', 'g', 'n']","['e', 'i', 'g', 'n']"
e,a,"['f', 'i', 'l', 'e']","['f', 'i', 'l', 'a']"
n,r,"['l', 'i', 'n', 'k']","['l', 'i', 'r', 'k']"
e,g,"['o', 'p', 'e', 'n']","['o', 'p', 'g', 'n']"
d,e,"['t', 'o', 'd', 'a', 'y']","['t', 'o', 'e', 'a', 'y']"
o,i,"['t', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y']","['t', 'e', 'c', 'h', 'n', 'i', 'l', 'i', 'g', 'y']"
o,t,"['s', 'o', 'u', 't', 'h']","['s', 't', 'u', 't', 'h']"
s,b,"['c', 'a', 's', 'e']","['c', 'a', 'b', 'e']"
r,s,"['p', 'r', 'o', 'j', 'e', 'c', 't']","['p', 's', 'o', 'j', 'e', 'c', 't']"
m,a,"['s', 'a', 'm', 'e']","['s', 'a', 'a', 'e']"
e,m,"['p', 'a', 'g', 'e', 's']","['p', 'a', 'g', 'm', 's']"
v,h,"['v', 'e', 'r', 's', 'i', 'o', 'n']","['h', 'e', 'r', 's', 'i', 'o', 'n']"
o,c,"['s', 'e', 'c', 't', 'i', 'o', 'n']","['s', 'e', 'c', 't', 'i', 'c', 'n']"
w,p,"['o', 'w', 'n']","['o', 'p', 'n']"
o,b,"['f', 'o', 'u', 'n', 'd']","['f', 'b', 'u', 'n', 'd']"
r,n,"['s', 'p', 'o', 'r', 't', 's']","['s', 'p', 'o', 'n', 't', 's']"
s,a,"['h', 'o', 'u', 's', 'e']","['h', 'o', 'u', 'a', 'e']"
t,n,"['r', 'e', 'l', 'a', 't', 'e', 'd']","['r', 'e', 'l', 'a', 'n', 'e', 'd']"
r,o,"['s', 'e', 'c', 'u', 'r', 'i', 't', 'y']","['s', 'e', 'c', 'u', 'o', 'i', 't', 'y']"
o,p,"['b', 'o', 't', 'h']","['b', 'p', 't', 'h']"
u,u,"['c', 'o', 'u', 'n', 't', 'y']","['c', 'o', 'u', 'n', 't', 'y']"
e,s,"['a', 'm', 'e', 'r', 'i', 'c', 'a', 'n']","['a', 'm', 's', 'r', 'i', 'c', 'a', 'n']"
t,k,"['p', 'h', 'o', 't', 'o']","['p', 'h', 'o', 'k', 'o']"
e,e,"['g', 'a', 'm', 'e']","['g', 'a', 'm', 'e']"
e,x,"['m', 'e', 'm', 'b', 'e', 'r', 's']","['m', 'x', 'm', 'b', 'x', 'r', 's']"
e,c,"['p', 'o', 'w', 'e', 'r']","['p', 'o', 'w', 'c', 'r']"
i,a,"['w', 'h', 'i', 'l', 'e']","['w', 'h', 'a', 'l', 'e']"
a,w,"['c', 'a', 'r', 'e']","['c', 'w', 'r', 'e']"
e,r,"['n', 'e', 't', 'w', 'o', 'r', 'k']","['n', 'r', 't', 'w', 'o', 'r', 'k']"
d,h,"['d', 'o', 'w', 'n']","['h', 'o', 'w', 'n']"
m,f,"['c', 'o', 'm', 'p', 'u', 't', 'e', 'r']","['c', 'o', 'f', 'p', 'u', 't', 'e', 'r']"
s,u,"['s', 'y', 's', 't', 'e', 'm', 's']","['u', 'y', 'u', 't', 'e', 'm', 'u']"
e,p,"['t', 'h', 'r', 'e', 'e']","['t', 'h', 'r', 'p', 'p']"
a,g,"['t', 'o', 't', 'a', 'l']","['t', 'o', 't', 'g', 'l']"
e,j,"['p', 'l', 'a', 'c', 'e']","['p', 'l', 'a', 'c', 'j']"
d,l,"['e', 'n', 'd']","['e', 'n', 'l']"
g,r,"['f', 'o', 'l', 'l', 'o', 'w', 'i', 'n', 'g']","['f', 'o', 'l', 'l', 'o', 'w', 'i', 'n', 'r']"
a,f,"['d', 'o', 'w', 'n', 'l', 'o', 'a', 'd']","['d', 'o', 'w', 'n', 'l', 'o', 'f', 'd']"
h,p,"['h', 'i', 'm']","['p', 'i', 'm']"
w,w,"['w', 'i', 't', 'h', 'o', 'u', 't']","['w', 'i', 't', 'h', 'o', 'u', 't']"
r,s,"['p', 'e', 'r']","['p', 'e', 's']"
s,g,"['a', 'c', 'c', 'e', 's', 's']","['a', 'c', 'c', 'e', 'g', 'g']"
k,p,"['t', 'h', 'i', 'n', 'k']","['t', 'h', 'i', 'n', 'p']"
o,c,"['n', 'o', 'r', 't', 'h']","['n', 'c', 'r', 't', 'h']"
s,d,"['r', 'e', 's', 'o', 'u', 'r', 'c', 'e', 's']","['r', 'e', 'd', 'o', 'u', 'r', 'c', 'e', 'd']"
t,e,"['c', 'u', 'r', 'r', 'e', 'n', 't']","['c', 'u', 'r', 'r', 'e', 'n', 'e']"
s,l,"['p', 'o', 's', 't', 's']","['p', 'o', 'l', 't', 'l']"
b,f,"['b', 'i', 'g']","['f', 'i', 'g']"
d,d,"['m', 'e', 'd', 'i', 'a']","['m', 'e', 'd', 'i', 'a']"
w,g,"['l', 'a', 'w']","['l', 'a', 'g']"
o,o,"['c', 'o', 'n', 't', 'r', 'o', 'l']","['c', 'o', 'n', 't', 'r', 'o', 'l']"
r,j,"['w', 'a', 't', 'e', 'r']","['w', 'a', 't', 'e', 'j']"
h,r,"['h', 'i', 's', 't', 'o', 'r', 'y']","['r', 'i', 's', 't', 'o', 'r', 'y']"
u,o,"['p', 'i', 'c', 't', 'u', 'r', 'e', 's']","['p', 'i', 'c', 't', 'o', 'r', 'e', 's']"
z,y,"['s', 'i', 'z', 'e']","['s', 'i', 'y', 'e']"
t,j,"['a', 'r', 't']","['a', 'r', 'j']"
e,c,"['p', 'e', 'r', 's', 'o', 'n', 'a', 'l']","['p', 'c', 'r', 's', 'o', 'n', 'a', 'l']"
n,d,"['s', 'i', 'n', 'c', 'e']","['s', 'i', 'd', 'c', 'e']"
l,g,"['i', 'n', 'c', 'l', 'u', 'd', 'i', 'n', 'g']","['i', 'n', 'c', 'g', 'u', 'd', 'i', 'n', 'g']"
g,o,"['g', 'u', 'i', 'd', 'e']","['o', 'u', 'i', 'd', 'e']"
h,d,"['s', 'h', 'o', 'p']","['s', 'd', 'o', 'p']"
c,e,"['d', 'i', 'r', 'e', 'c', 't', 'o', 'r', 'y']","['d', 'i', 'r', 'e', 'e', 't', 'o', 'r', 'y']"
o,q,"['b', 'o', 'a', 'r', 'd']","['b', 'q', 'a', 'r', 'd']"
n,e,"['l', 'o', 'c', 'a', 't', 'i', 'o', 'n']","['l', 'o', 'c', 'a', 't', 'i', 'o', 'e']"
c,z,"['c', 'h', 'a', 'n', 'g', 'e']","['z', 'h', 'a', 'n', 'g', 'e']"
h,h,"['w', 'h', 'i', 't', 'e']","['w', 'h', 'i', 't', 'e']"
t,q,"['t', 'e', 'x', 't']","['q', 'e', 'x', 'q']"
s,j,"['s', 'm', 'a', 'l', 'l']","['j', 'm', 'a', 'l', 'l']"
i,j,"['r', 'a', 't', 'i', 'n', 'g']","['r', 'a', 't', 'j', 'n', 'g']"
r,s,"['r', 'a', 't', 'e']","['s', 'a', 't', 'e']"
n,r,"['g', 'o', 'v', 'e', 'r', 'n', 'm', 'e', 'n', 't']","['g', 'o', 'v', 'e', 'r', 'r', 'm', 'e', 'r', 't']"
n,h,"['c', 'h', 'i', 'l', 'd', 'r', 'e', 'n']","['c', 'h', 'i', 'l', 'd', 'r', 'e', 'h']"
